antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
['HAND OVER THE CHOCOLATE   SIGN '],['PLEASE ONE PERSON METAL SIGN'],0.02672374943668319,0.03172600270392068,0.010635421360973412,0.3979763912310287,12.544170627012113,1.0,0.009787583614086302,1.608365491306933,0.9455503471527354,0.22243166823751181,0.3782507735928757,0.36660183197915075
['LUNCH BAG ALPHABET DESIGN'],['LUNCH BAG RED RETROSPOT'],0.029743127534925643,0.05989184317260027,0.011807120324470483,0.396969696969697,6.628109537816084,1.0,0.010025749594686066,1.5589733253921703,0.8751573341653578,0.15170816444701796,0.3585522063063888,0.2970552021342089
['LUNCH BAG ALPHABET DESIGN'],['LUNCH BAG SUKI DESIGN '],0.029743127534925643,0.041279855790896804,0.011762054979720596,0.39545454545454545,9.579843191742754,1.0,0.010534262964308613,1.5858528701203212,0.9230691203399695,0.19847908745247148,0.3694244788773321,0.3401945216355696
['LUNCH BAG SUKI DESIGN '],['LUNCH BAG PINK POLKADOT'],0.041279855790896804,0.04285714285714286,0.016313654799459214,0.39519650655021826,9.221251819505092,1.0,0.014544518122706494,1.582568334192883,0.9299427568837432,0.24053156146179397,0.3681157531121683,0.3879242259354666
['JUMBO BAG ALPHABET'],['JUMBO BAG RED RETROSPOT'],0.0345200540784137,0.0740423614240649,0.013609734114465975,0.3942558746736292,5.324733937314566,1.0,0.011053787794013802,1.528628342993893,0.8412367265281494,0.14333175130517323,0.34581875013422064,0.28903298907144637
['LUNCH BAG DOLLY GIRL DESIGN'],['LUNCH BAG PINK POLKADOT'],0.02726453357368184,0.04285714285714286,0.010635421360973412,0.39008264462809916,9.101928374655648,1.0,0.009466941350672761,1.5692992644212156,0.9150824686006839,0.17878787878787877,0.362772912298014,0.3191212381920727
['LUNCH BAG PINK POLKADOT'],['LUNCH BAG SPACEBOY DESIGN '],0.04285714285714286,0.045110410094637225,0.016674177557458314,0.38906414300736064,8.624708624708624,1.0,0.014740874267688147,1.5629948364888124,0.9236385639370713,0.23388116308470291,0.3602026208567338,0.3793472563188651
['ROUND SNACK BOXES SET OF4 WOODLAND '],['POSTAGE'],0.02757999098693105,0.05380802163136548,0.010725552050473186,0.3888888888888889,7.227340405732366,1.0,0.009241527298855535,1.5483141464214019,0.886074440898799,0.15178571428571425,0.3541362375902288,0.29410943606923506
['SPOTTY BUNTING'],['PARTY BUNTING'],0.04574132492113565,0.06304641730509239,0.017710680486705724,0.387192118226601,6.141381775159596,1.0,0.014826853827639984,1.5289515859088925,0.8772990137320464,0.19445818901533896,0.3459570536986329,0.3340535287344585
['JUMBO BAG APPLES'],['JUMBO BAG VINTAGE LEAF'],0.03330328977016674,0.035060838215412345,0.012888688598467778,0.3870094722598105,11.038226464582515,1.0,0.011721047343794965,1.5741501999090732,0.9407353170814082,0.2323314378554021,0.36473660514875755,0.3773093633792626
['LUNCH BAG WOODLAND'],['LUNCH BAG PINK POLKADOT'],0.03780982424515548,0.04285714285714286,0.014556106354213609,0.38498212157330153,8.982916170043703,1.0,0.012935685315135517,1.5562846068660023,0.9235986800597937,0.22017723244717108,0.3574440076138971,0.3623123015858095
['JUMBO  BAG BAROQUE BLACK WHITE'],['JUMBO BAG PINK POLKADOT'],0.029878323569175306,0.039837764758900406,0.011401532221721496,0.3815987933634992,9.578820389972904,1.0,0.01021124659598238,1.5526525901581683,0.9231862698025515,0.19551777434312206,0.35594091921224297,0.3338989441930618
['JUMBO BAG APPLES'],['JUMBO BAG ALPHABET'],0.03330328977016674,0.0345200540784137,0.01270842721946823,0.38159675236806495,11.054349784657129,1.0,0.011558795855612992,1.5612465646303113,0.9408720055042152,0.2305805396565822,0.35948618068742355,0.37487148323364083
['LUNCH BAG VINTAGE LEAF DESIGN'],['LUNCH BAG SPACEBOY DESIGN '],0.02708427219468229,0.045110410094637225,0.010274898602974312,0.3793677204658901,8.40975995718092,1.0,0.009053115977157414,1.5385754518314287,0.9056185614343888,0.16593886462882093,0.3500481248354383,0.30356997411905895
['LUNCH BAG ALPHABET DESIGN'],['LUNCH BAG SPACEBOY DESIGN '],0.029743127534925643,0.045110410094637225,0.01117620549797206,0.37575757575757573,8.32973087518542,1.0,0.009834480817374466,1.529677498392086,0.9069228233672445,0.17551309271054494,0.34626743150033534,0.31175491175491177
['RED RETROSPOT CHARLOTTE BAG'],['JUMBO BAG RED RETROSPOT'],0.03402433528616494,0.0740423614240649,0.012753492564218117,0.3748344370860927,5.062432233073888,1.0,0.010234250433746327,1.4811398667898965,0.8307315814678445,0.13380614657210402,0.3248443159069644,0.27354016437384365
